"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.verticillata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 576 50.794 98.321 0.493 0.252 NA
"2" "Scleria.verticillata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 579 50.794 98.473 0.784 0.698 NA
"3" "Scleria.verticillata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 676 49.206 99.389 0.588 0.277 NA
"4" "Scleria.verticillata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 589 50.265 98.626 0.434 0.268 NA
"5" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 388 100 98.931 0.991 0.523 NA
"6" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 396 100 99.237 1 0.901 NA
"7" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 437 98.942 99.695 0.986 0.556 NA
"8" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 394 100 99.237 0.995 0.882 NA
"9" "Scleria.verticillata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 456 91.534 85.954 0.776 0.647 NA
"10" "Scleria.verticillata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 461.5 91.534 86.718 0.952 0.892 NA
"11" "Scleria.verticillata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 551 81.481 90.687 0.693 0.585 NA
"12" "Scleria.verticillata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 441 92.063 85.038 0.978 0.896 NA
"13" "Scleria.verticillata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 495 79.365 83.359 0.627 0.553 NA
"14" "Scleria.verticillata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 496 79.365 83.359 0.869 0.829 NA
"15" "Scleria.verticillata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 495 79.365 83.359 0.554 0.496 NA
"16" "Scleria.verticillata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 730 57.143 92.061 0.852 0.754 NA
"17" "Scleria.verticillata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 353 85.714 73.282 0.59 0.592 NA
"18" "Scleria.verticillata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 356.5 85.714 73.435 0.871 0.874 NA
"19" "Scleria.verticillata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 515 71.958 84.427 0.516 0.489 NA
"20" "Scleria.verticillata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 482 73.545 81.832 0.969 0.916 NA
"21" "Scleria.verticillata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 433 73.545 78.626 0.523 0.54 NA
"22" "Scleria.verticillata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 433.5 73.545 78.779 0.828 0.855 NA
"23" "Scleria.verticillata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 564 61.376 88.244 0.497 0.545 NA
"24" "Scleria.verticillata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 427 73.545 77.863 0.984 0.95 NA
"25" "Scleria.verticillata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 362 74.603 86.718 0.613 0.41 NA
"26" "Scleria.verticillata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 357.5 75.132 86.565 0.882 0.796 NA
"27" "Scleria.verticillata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 573 57.672 95.115 0.58 0.277 NA
"28" "Scleria.verticillata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 336 75.132 83.969 0.973 0.721 NA
"29" "Scleria.verticillata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 349 100 98.626 0.986 0.471 NA
"30" "Scleria.verticillata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 353 100 98.779 1 0.858 NA
"31" "Scleria.verticillata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 402.5 98.942 99.389 0.98 0.407 NA
"32" "Scleria.verticillata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 368 98.942 99.237 0.998 0.786 NA
"33" "Scleria.verticillata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 387 95.767 84.885 0.801 0.467 NA
"34" "Scleria.verticillata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 386.5 95.767 84.885 0.957 0.834 NA
"35" "Scleria.verticillata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 539 83.069 91.145 0.708 0.371 NA
"36" "Scleria.verticillata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 465 87.831 88.092 0.972 0.757 NA
"37" "Scleria.verticillata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 573 65.608 89.618 0.552 0.322 NA
"38" "Scleria.verticillata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 572.5 65.608 89.618 0.833 0.762 NA
"39" "Scleria.verticillata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 573 65.608 89.618 0.549 0.324 NA
"40" "Scleria.verticillata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 829 34.921 95.725 0.465 0.804 NA
"41" "Scleria.verticillata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 454 77.778 82.901 0.608 0.413 NA
"42" "Scleria.verticillata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 429 78.836 82.29 0.889 0.82 NA
"43" "Scleria.verticillata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 585 68.254 88.702 0.555 0.371 NA
"44" "Scleria.verticillata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 419 78.836 81.221 0.979 0.835 NA
