"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.vogelii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 60 94.118 80.4 0.745 0.318 NA
"2" "Scleria.vogelii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 62.5 94.118 80.667 0.931 0.781 NA
"3" "Scleria.vogelii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 790 55.882 99.867 0.694 -0.028 NA
"4" "Scleria.vogelii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 646 61.765 98.667 0.769 0.377 NA
"5" "Scleria.vogelii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 372 100 100 1 0.125 NA
"6" "Scleria.vogelii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 375 100 100 1 0.866 NA
"7" "Scleria.vogelii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 372 100 100 1 0.215 NA
"8" "Scleria.vogelii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 339 100 99.733 1 0.51 NA
"9" "Scleria.vogelii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 525 100 98.667 0.987 0.234 NA
"10" "Scleria.vogelii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 525.5 100 98.667 0.997 0.844 NA
"11" "Scleria.vogelii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 594.5 91.176 99.467 0.894 0.349 NA
"12" "Scleria.vogelii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 488 100 98.4 0.881 0.652 NA
"13" "Scleria.vogelii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 393 94.118 74.667 0.691 0.217 NA
"14" "Scleria.vogelii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 398.5 94.118 76.4 0.886 0.588 NA
"15" "Scleria.vogelii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 751 50 94.8 0.347 0.201 NA
"16" "Scleria.vogelii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 678 73.529 87.333 0.894 0.619 NA
