"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.woodii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 230 88.71 87.584 0.763 0.694 NA
"2" "Scleria.woodii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 239 88.71 87.854 0.947 0.906 NA
"3" "Scleria.woodii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 681 61.29 98.381 0.655 0.28 NA
"4" "Scleria.woodii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 478 72.581 95.277 0.925 0.579 NA
"5" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 366.5 100 100 1 0.16 NA
"6" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 368 100 100 1 0.906 NA
"7" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 366.5 100 100 1 0.208 NA
"8" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 342 100 99.865 1 0.779 NA
"9" "Scleria.woodii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 523 100 92.848 0.928 0.522 NA
"10" "Scleria.woodii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 531.5 100 92.982 0.984 0.909 NA
"11" "Scleria.woodii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 657 85.484 96.626 0.734 0.281 NA
"12" "Scleria.woodii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 486 100 92.173 0.966 0.532 NA
"13" "Scleria.woodii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 547 96.774 78.273 0.75 0.393 NA
"14" "Scleria.woodii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 546 96.774 78.273 0.901 0.848 NA
"15" "Scleria.woodii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 713 77.419 90.418 0.477 0.321 NA
"16" "Scleria.woodii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 670 77.419 90.148 0.685 0.375 NA
"17" "Scleria.woodii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 519 88.71 80.702 0.694 0.596 NA
"18" "Scleria.woodii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 523.5 88.71 80.837 0.908 0.933 NA
