"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.029528
"41" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.06486
"42" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00867799999999996
"43" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.071865
"44" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.050123
"45" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.025047
"46" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.026201
"47" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.011839
"48" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.016865
"49" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.052733
"50" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.0976939999999999
"51" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.039064
"52" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.0745
"53" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.034197
"54" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.072639
"55" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.00826800000000005
"56" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.06958
"57" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.05204
"58" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.0245610000000001
"59" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.026864
"60" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.012615
"61" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.016249
"62" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.0523709999999999
"63" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.1087
"64" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.040233
"65" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.075166
"66" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.034241
"67" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.073941
"68" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.00835300000000005
"69" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.070644
"70" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.0495
