"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.198933
"2" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.387942
"3" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.208592
"4" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.667721
"5" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.157904
"6" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.00820299999999996
"7" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.140111
"8" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.114786
"9" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.194885
"10" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.29769
"11" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.146151
"12" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.105761
"13" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.154401
"14" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.189533
"15" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.396012
"16" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.187919
"17" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.684963
"18" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.167027
"19" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.016227
"20" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.124846
"21" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.152379
"22" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.178549
"23" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.271807
"24" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.182264
"25" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.090222
"26" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.124846
"27" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.169245
"28" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.433854
"29" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.212448
"30" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.756091
"31" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.172911
"32" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.00820299999999996
"33" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.12769
"34" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.148858
"35" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.156316
"36" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.205321
"37" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.176251
"38" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.099152
