"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.301885
"2" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.0635520000000001
"3" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.00378100000000003
"4" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.667543
"5" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.140026
"6" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.301671
"7" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.018787
"8" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.127628
"9" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.019169
"10" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.00184600000000001
"11" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.040732
"12" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.084207
"13" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.073485
"14" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.30895
"15" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.019037
"16" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.000296999999999992
"17" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.661769
"18" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.085546
"19" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.32983
"20" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.014057
"21" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.187434
"22" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.044834
"23" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.000682999999999989
"24" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.054451
"25" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.093159
"26" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.06073
"27" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.300868
"28" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.033694
"29" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 1.99999999994649e-06
"30" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.65261
"31" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.122977
"32" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.340177
"33" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.015122
"34" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.193309
"35" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.020466
