"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.019637
"2" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.029609
"3" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.01072
"4" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.02994
"5" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.025277
"6" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.041227
"7" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.081467
"8" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.014059
"9" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.019548
"10" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.025138
"11" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.044862
"12" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.0786750000000001
"13" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.03303
"14" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.019208
"15" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.030075
"16" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.010478
"17" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.032442
"18" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.023948
"19" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.039562
"20" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.084056
"21" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.013871
"22" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.020736
"23" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.024872
"24" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.044702
"25" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.07786
"26" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.031908
"27" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.018445
"28" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.030016
"29" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.010949
"30" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.032686
"31" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.021811
"32" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.040096
"33" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.081697
"34" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.014743
"35" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.020329
"36" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.0261940000000001
