"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"742" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "drainage_density" 1 0.070746
"743" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "elevation" 1 0.047961
"744" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "herbaceous_vegetation" 1 0.028174
"745" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "human_footprint" 1 0.026042
"746" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ruggedness" 1 0.109955
"747" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "soil_nitrogen" 1 0.034869
"748" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "soil_ph" 1 0.033664
"749" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "treecover" 1 0.0360780000000001
"750" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "water_content_33" 1 0.029153
"751" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_2" 1 0.042916
"752" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_8" 1 0.078557
"753" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_17" 1 0.042452
"754" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_18" 1 0.100568
"755" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "drainage_density" 2 0.075013
"756" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "elevation" 2 0.043566
"757" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "herbaceous_vegetation" 2 0.0265300000000001
"758" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "human_footprint" 2 0.018039
"759" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ruggedness" 2 0.108044
"760" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "soil_nitrogen" 2 0.035668
"761" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "soil_ph" 2 0.030415
"762" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "treecover" 2 0.03626
"763" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "water_content_33" 2 0.031736
"764" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_2" 2 0.041902
"765" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_8" 2 0.08285
"766" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_17" 2 0.041972
"767" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "bio_18" 2 0.109962
"768" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "drainage_density" 3 0.077641
"769" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "elevation" 3 0.0479850000000001
"770" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "herbaceous_vegetation" 3 0.027274
"771" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "human_footprint" 3 0.02235
"772" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ruggedness" 3 0.112279
"773" "Scleria.catophylla_PA1_RUN4_RF" "PA1" "RUN4" "RF" "soil_nitrogen" 3 0.034597
