"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0
"2" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.0123529999999999
"3" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0
"4" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.149341
"5" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.109453
"6" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.105553
"7" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.144002
"8" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.115723
"9" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.07192
"10" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0
"11" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.00294899999999998
"12" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.051422
"13" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.113224
"14" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0
"15" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.018235
"16" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0
"17" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.150523
"18" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.103114
"19" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.107278
"20" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.132286
"21" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.129701
"22" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.077416
"23" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0
"24" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.00296099999999999
"25" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.058779
"26" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.0988250000000001
"27" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0
"28" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.019553
"29" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0
"30" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.156141
"31" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.096998
"32" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.104408
"33" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.147707
"34" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.12192
"35" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.067103
"36" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0
"37" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.00282700000000002
"38" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.056388
"39" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.110551
"40" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00713699999999995
"41" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.00755600000000001
"42" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00741700000000001
