"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.078671
"2" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.0633
"3" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.123424
"4" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.01226
"5" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.021909
"6" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.177107
"7" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.203546
"8" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.034242
"9" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.156063
"10" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.18244
"11" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.0625830000000001
"12" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.0294759999999999
"13" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.010399
"14" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.08773
"15" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.069437
"16" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.126572
"17" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.012655
"18" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.015956
