"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.018567
"41" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.027697
"42" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.060785
"43" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.013856
"44" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.022666
"45" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.032879
"46" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.056808
"47" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.043144
"48" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.03695
"49" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.067539
"50" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.012007
"51" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.034303
"52" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.0513940000000001
"53" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.021723
"54" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.02596
"55" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.054955
"56" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.015091
"57" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.022686
"58" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.033738
"59" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.056347
"60" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.044581
"61" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.037594
"62" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.06194
"63" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.011293
"64" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.040862
"65" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.044775
"66" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.0223370000000001
"67" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.029762
"68" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.06358
"69" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.0152
"70" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.021585
"71" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.036009
"72" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.058554
"73" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.043713
"74" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.030798
"75" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.064124
"76" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.010952
"77" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.039974
"78" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.046912
"79" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.0332480000000001
"80" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.00779700000000005
"81" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.07035
"82" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.000483000000000011
"83" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.01374
"84" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.082769
"85" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.103886
"86" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.056011
"87" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.03525
"88" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.135495
"89" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.00792700000000002
"90" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.07412
"91" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.038388
"92" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.033554
"93" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.00822800000000001
"94" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.070407
"95" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.000492999999999966
"96" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.012526
"97" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.073451
