"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.087311
"2" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.143983
"3" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.131641
"4" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.158316
"5" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.045152
"6" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.024299
"7" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.141258
"8" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.048046
"9" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0
"10" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.039707
"11" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.019196
"12" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.00675800000000004
"13" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.014467
"14" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.084232
"15" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.145191
"16" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.139464
"17" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.157876
"18" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.0478690000000001
"19" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.026712
"20" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.126606
