"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 1 0.053133
"2" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 1 0.302755
"3" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 1 0.04126
"4" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 1 0.158897
"5" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 1 0.0404139999999999
"6" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 1 0.248603
"7" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 1 0.277669
"8" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 1 0.033185
"9" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 1 0.126293
"10" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 1 0.13284
"11" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 1 0.047827
"12" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 1 0.10595
"13" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 1 0.545255
"14" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 2 0.054347
"15" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 2 0.318137
"16" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 2 0.0627490000000001
"17" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 2 0.14411
"18" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 2 0.0356300000000001
"19" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 2 0.248798
"20" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 2 0.314828
"21" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 2 0.031206
"22" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 2 0.140214
"23" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 2 0.145474
"24" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 2 0.0523400000000001
"25" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 2 0.12031
"26" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 2 0.503302
"27" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 3 0.053818
"28" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 3 0.296388
"29" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 3 0.061761
"30" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 3 0.163248
"31" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 3 0.042933
"32" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 3 0.20677
"33" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 3 0.297304
"34" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 3 0.032765
"35" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 3 0.129562
"36" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 3 0.132744
"37" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 3 0.0528149999999999
"38" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 3 0.111638
"39" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 3 0.521914
"79" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "drainage_density" 1 0.156093
"80" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "elevation" 1 0.200011
"81" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "herbaceous_vegetation" 1 0.0459850000000001
"82" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "human_footprint" 1 0.149795
"83" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ruggedness" 1 0.020441
"84" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "soil_nitrogen" 1 0.183951
"85" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "soil_ph" 1 0.427739
"86" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "treecover" 1 0.114815
"87" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "water_content_33" 1 0.085322
"88" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "bio_2" 1 0.174901
