"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"118" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 1 0.183094
"119" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 1 0.640819
"120" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 1 0.033528
"121" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 1 0.405733
"122" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 1 0.279754
"123" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 1 0.057794
"124" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 1 0.057664
"125" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 1 0.00718600000000003
"126" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 1 0.029667
"127" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 1 0.099185
"128" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 1 0.439456
"129" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 1 0.083772
"130" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 1 0.244807
"131" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 2 0.189737
"132" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 2 0.622156
"133" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 2 0.036971
"134" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 2 0.3645
"135" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 2 0.289783
"136" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 2 0.061889
"137" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 2 0.060033
"138" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 2 0.00856500000000004
"139" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 2 0.035146
"140" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 2 0.104793
"141" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 2 0.438791
"142" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 2 0.0838680000000001
"143" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 2 0.250431
"144" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 3 0.193811
"145" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 3 0.679123
"146" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 3 0.038142
"147" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 3 0.413876
"148" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 3 0.287372
"149" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 3 0.059671
