"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.026325
"2" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.040772
"3" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.023528
"4" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.255666
"5" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.167643
"6" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.09326
"7" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.05748
"8" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.014168
"9" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.044532
"10" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.035923
"11" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.07909
"12" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.05419
"13" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.00363800000000003
"14" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.030516
"15" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.045251
"16" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.022523
"17" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.249262
"18" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.167548
"19" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.09656
"20" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.057081
"21" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.015138
"22" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.042007
"23" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.038126
"24" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.088276
"25" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.054719
"26" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.00351800000000002
"27" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.028189
"28" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.04233
"29" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.022912
"30" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.244875
"31" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.15441
"32" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.090229
"33" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.052766
"34" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.016184
"35" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.044299
"36" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.041059
"37" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.084686
"38" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.053802
"39" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.003521
"40" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.012298
"41" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.035589
"42" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.012309
"43" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.08848
