"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.022531
"41" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.050153
"42" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00515200000000005
"43" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.00864100000000001
"44" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.018973
"45" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.0396
"46" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.027111
"47" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.00863199999999997
"48" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.020989
"49" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.038686
"50" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.062228
"51" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.014468
"52" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.04496
"53" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.022357
"54" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.049947
"55" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.00573000000000001
"56" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.00833399999999995
"57" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.020014
"58" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.044032
"59" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.024938
"60" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.00913299999999995
"61" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.019695
"62" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.034594
"63" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.063898
"64" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.012783
"65" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.043513
"66" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.021028
"67" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.04792
"68" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.00552200000000003
"69" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.00820500000000002
"70" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.020806
"71" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.040949
"72" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.0282480000000001
"73" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.00898100000000002
"74" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.019862
"75" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.03382
"76" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.065206
"77" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.015042
"78" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.038449
"79" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.00717999999999996
"80" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.230473
"81" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00165700000000002
"82" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.00679600000000002
"83" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.00498200000000004
"84" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.00322
"85" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.037169
"86" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.00859399999999999
"87" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.020906
"88" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.04232
"89" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.219685
"90" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.00276500000000002
"91" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.07159
"92" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.00799499999999997
"93" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.223304
"94" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.00184499999999999
"95" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.00697899999999996
"96" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.00545099999999998
"97" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.00321000000000005
"98" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.037771
"99" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.00817500000000004
"100" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.01938
"101" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.0419
"102" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.213813
"103" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.00247699999999995
"104" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.079826
"105" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.00778999999999996
"106" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.24295
"107" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.00176100000000001
"108" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.00612199999999996
"109" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.00541199999999997
"110" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.00307800000000003
"111" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.043681
"112" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.00848499999999996
"113" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.02105
"114" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.03749
"115" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.226177
"116" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.00208600000000003
"117" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.080035
"157" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 1 0.023437
"158" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 1 0.124695
"159" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 1 0.01442
"160" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 1 0.010783
"161" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 1 0.133129
"162" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 1 0.035767
"163" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 1 0.140756
"164" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 1 0.015396
"165" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 1 0.123509
"166" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 1 0.254718
"167" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 1 0.079373
"168" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 1 0.067354
"169" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 1 0.054722
"170" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 2 0.024657
"171" "Scleria.georgiana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 2 0.131095
