"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0
"2" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.025903
"3" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.101031
"4" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.266521
"5" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.090604
"6" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.084711
"7" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.096012
"8" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.082059
"9" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.034602
"10" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.203495
"11" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.031117
"12" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.037645
"13" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.034736
"14" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0
"15" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.025602
"16" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.099789
"17" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.258728
"18" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.093074
"19" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.078857
"20" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.098491
"21" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.089296
"22" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.032165
"23" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.203803
"24" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.031209
"25" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.036711
"26" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.032505
"27" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0
"28" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.024913
"29" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.091377
"30" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.252226
"31" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.092521
"32" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.08888
"33" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.095099
"34" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.086321
"35" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.034309
