"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.093148
"2" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.732057
"3" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.215742
"4" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.398675
"5" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.152804
"6" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.516635
"7" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.522156
"8" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.422318
"9" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.325901
"10" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.223723
"11" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.3217
"12" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.551154
"13" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.526771
"14" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.127905
"15" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.718762
"16" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.243827
"17" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.468691
"18" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.132117
"19" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.454217
"20" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.454919
"21" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.366708
"22" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.423646
"23" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.215742
"24" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.356898
"25" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.457549
"26" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.549665
"27" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.10307
"28" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.754722
"29" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.303579
"30" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.416232
"31" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.142633
"32" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.587562
"33" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.51957
"34" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.400997
"35" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.391417
"36" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.217657
"37" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.312083
