"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.017912
"41" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.017126
"42" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.033404
"43" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.058462
"44" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.031213
"45" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.01371
"46" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.036091
"47" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.016482
"48" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.040265
"49" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.040169
"50" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.0372440000000001
"51" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.022412
"52" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.058382
"53" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.018404
"54" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.017027
"55" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.035195
"56" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.062111
"57" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.029076
"58" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.0129629999999999
"59" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.036516
"60" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.017163
"61" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.042029
"62" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.037942
"63" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.0366919999999999
"64" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.019493
"65" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.057997
"66" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.019018
