"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.02346
"41" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.020566
"42" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.02593
"43" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.15097
"44" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.036146
"45" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.033152
"46" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.065488
"47" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.036809
"48" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.013803
"49" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.044714
"50" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.031911
"51" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.015261
"52" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.041357
"53" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.027857
"54" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.021466
"55" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.023644
"56" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.13583
