"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00987000000000005
"41" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.068343
"42" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.031562
"43" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.059831
"44" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.040039
"45" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.015172
"46" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.014397
"47" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.010912
"48" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.008081
"49" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.025777
"50" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.032701
"51" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.140321
"52" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.031478
"53" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.010265
"54" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.061481
"55" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.033812
"56" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.0609690000000001
"57" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.038201
"58" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.013838
"59" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.015035
"60" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.010744
"61" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.007826
"62" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.023024
"63" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.029973
"64" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.134968
"65" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.028791
"66" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.0105420000000001
"67" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.067916
"68" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.030864
"69" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.060933
"70" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.039705
"71" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.014333
"72" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.014618
"73" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.00829999999999997
"74" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.00905800000000001
"75" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.02576
"76" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.032386
"77" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.150438
"78" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.029555
"79" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.014893
"80" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.050092
"81" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.142583
"82" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.042237
"83" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.027607
"84" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.00318300000000005
"85" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.093477
"86" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.009799
"87" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.00358099999999995
"88" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.051809
"89" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.053025
"90" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.23445
"91" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.00806200000000001
"92" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.014981
"93" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.047841
"94" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.151787
"95" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.044886
"96" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.025419
"97" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.00350200000000001
"98" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.082966
"99" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.011802
"100" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.00307800000000003
"101" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.050609
"102" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.050538
"103" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.236993
"104" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.00908900000000001
"105" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.015309
"106" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.048919
"107" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.145431
"108" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.044035
"109" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.025834
"110" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.00317000000000001
"111" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.08364
"112" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.01097
"113" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.00376900000000002
"114" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.05004
"115" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.054091
"116" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.223023
"117" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.00885100000000005
"157" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 1 0.010033
"158" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 1 0.515164
"159" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 1 0.09989
"160" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 1 0.238882
"161" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 1 0.078906
"162" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 1 0.113679
"163" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 1 0.37371
"164" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 1 0.066984
"165" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 1 0.000221000000000027
"166" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 1 0.050386
"167" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 1 0.510504
"168" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 1 0.197094
"169" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 1 0.045822
"170" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 2 0.00927199999999995
"171" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 2 0.538541
"172" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 2 0.100514
"173" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 2 0.237064
"174" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 2 0.073855
"175" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 2 0.117113
"176" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 2 0.340586
"177" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 2 0.075655
"178" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 2 0.000210999999999961
"179" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 2 0.048822
"180" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 2 0.540624
"181" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 2 0.210304
"182" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 2 0.0460159999999999
"183" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 3 0.00890899999999994
"184" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 3 0.498467
"185" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 3 0.113967
"186" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 3 0.241731
"187" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 3 0.078426
"188" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 3 0.123292
"189" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 3 0.360429
"190" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 3 0.060911
"191" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 3 0.000237000000000043
"192" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 3 0.053219
"193" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 3 0.53206
"194" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 3 0.195907
"195" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 3 0.05133
"196" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 1 0.00797999999999999
"197" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 1 0.234454
"198" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 1 0.103762
"199" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 1 0.196368
"200" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 1 0.108291
"201" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 1 0.226819
"202" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 1 0.297774
"203" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 1 0.077565
"204" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 1 0.000823000000000018
"205" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 1 0.00959699999999997
"206" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 1 0.043968
"207" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 1 0.00496399999999997
"208" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 1 0.010408
"209" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 2 0.00888199999999995
"210" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 2 0.237183
"211" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 2 0.105863
"212" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 2 0.185841
"213" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 2 0.106261
"214" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 2 0.237542
"215" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 2 0.278863
"216" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 2 0.071314
"217" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 2 0.000832000000000055
"218" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 2 0.00970800000000005
"219" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 2 0.043624
"220" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 2 0.00476799999999999
"221" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 2 0.010893
"222" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 3 0.00879200000000002
"223" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 3 0.243148
"224" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 3 0.102812
"225" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 3 0.180496
"226" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 3 0.105784
"227" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 3 0.239098
"228" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 3 0.319963
"229" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 3 0.073445
"230" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 3 0.000850000000000017
"231" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 3 0.00906600000000002
"232" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 3 0.049094
"233" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 3 0.00504099999999996
"234" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 3 0.010225
"235" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 1 0.321923
"236" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 1 0.430534
"237" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 1 0.190503
"238" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 1 0.544079
"239" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 1 0.45664
"240" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 1 0.110942
"241" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 1 0.269401
"242" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 1 0.095209
"243" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 1 0.351648
"244" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 1 0.180288
