"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00729900000000006
"41" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.00498699999999996
"42" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.026713
"43" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.108229
"44" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.00928099999999998
"45" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.010203
"46" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.035764
"47" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.012804
"48" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.026633
"49" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.034183
"50" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.01327
"51" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.014812
"52" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.0164840000000001
"53" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.00884799999999997
"54" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.00497400000000003
"55" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.025759
"56" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.112022
"57" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.00981500000000002
"58" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.010169
"59" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.038116
"60" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.012311
"61" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.026873
"62" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.033273
