"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.046862
"2" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.017593
"3" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.038759
"4" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.059682
"5" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.451337
"6" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.065452
"7" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.028262
"8" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.194733
"9" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.019656
"10" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.129808
"11" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.00395599999999996
"12" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.032871
"13" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.062607
"14" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.053091
"15" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.016409
"16" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.03266
"17" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.062043
"18" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.482729
"19" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.060848
"20" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.024908
"21" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.195293
"22" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.020852
"23" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.129834
"24" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.00412800000000002
"25" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.035102
"26" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.060543
"27" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.049358
"28" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.016604
"29" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.037894
"30" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.061757
"31" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.477032
