"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.066147
"2" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.102113
"3" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.055351
"4" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.522523
"5" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.023182
"6" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.063789
"7" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.187946
"8" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.21353
"9" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.123644
"10" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.10535
"11" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.178646
"12" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.106152
"13" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.103787
"14" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.064657
"15" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.105447
"16" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.047704
"17" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.512788
"18" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.023831
"19" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.062948
"20" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.181301
"21" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.180793
"22" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.127089
"23" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.106355
"24" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.183424
"25" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.11243
"26" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.121318
"27" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.0672430000000001
"28" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.09929
"29" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.0515099999999999
"30" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.46637
"31" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.020021
"32" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.05851
"33" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.188838
"34" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.182802
"35" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.124493
"36" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.096879
"37" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.178463
"38" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.118484
"39" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.104963
"40" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.028609
"41" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.034008
"42" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.032845
"43" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.168861
"44" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.02964
"45" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.025625
"46" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.042009
"47" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.030929
"48" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.024636
"49" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.026108
"50" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.055563
"51" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.026094
"52" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.058009
"53" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.028735
"54" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.032386
"55" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.0317809999999999
"56" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.16206
"57" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.033787
"58" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.0234490000000001
"59" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.045459
"60" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.033695
"61" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.023043
"62" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.024716
"63" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.058007
"64" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.02715
