"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"79" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.034924
"80" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.033629
"81" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00736000000000003
"82" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.165366
"83" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.071447
"84" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.01778
"85" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.334724
"86" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.070909
"87" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.035323
"88" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.02778
"89" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.249879
"90" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.013311
"91" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.087138
"92" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.032571
"93" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.033674
"94" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.00719499999999995
"95" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.165623
"96" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.070566
"97" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.018558
"98" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.338999
"99" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.066707
"100" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.034236
"101" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.0254
"102" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.246069
"103" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.01378
"104" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.090156
"105" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.037722
"106" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.030984
"107" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.00725200000000004
"108" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.157855
"109" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.064904
"110" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.016296
"111" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.344061
"112" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.07137
"113" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.033937
