"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.032991
"2" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.118302
"3" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.00343700000000002
"4" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.305186
"5" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.020487
"6" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.070098
"7" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.075983
"8" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.017415
"9" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.110281
"10" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.114127
"11" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.157122
"12" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.025805
"13" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.117716
"14" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.0328619999999999
"15" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.102887
"16" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.00328399999999995
"17" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.354102
"18" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.024357
"19" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.078144
"20" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.072893
"21" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.015276
"22" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.124244
"23" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.112056
"24" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.158715
"25" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.025173
"26" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.114941
"27" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.038979
"28" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.094737
"29" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.00341599999999997
"30" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.356043
"31" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.026362
"32" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.076982
"33" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.078685
"34" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.016243
"35" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.131101
"36" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.103416
"37" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.147735
"38" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.026282
"39" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.115238
"40" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.020877
"41" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.062777
"42" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.01326
"43" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.102105
"44" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.017726
"45" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.031882
"46" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.038758
"47" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.014469
"48" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.011913
"49" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.033044
"50" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.082974
"51" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.018028
"52" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.018355
"53" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.021536
"54" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.060732
"55" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.013073
"56" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.111582
"57" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.019496
"58" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.0334449999999999
"59" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.040803
"60" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.014218
"61" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.011224
"62" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.031014
"63" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.081356
"64" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.018215
"65" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.017746
"66" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.019459
"67" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.066207
"68" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.012625
"69" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.114796
"70" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.017965
"71" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.033698
"72" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.040003
"73" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.014128
"74" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.01169
"75" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.031169
"76" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.0805670000000001
"77" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.017963
"78" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.017315
"79" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.00844
"80" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.048389
"81" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.015643
"82" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.277571
"83" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.00482000000000005
"84" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.0571970000000001
"85" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.049468
"86" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.00992400000000004
"87" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.021606
"88" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.037988
"89" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.097523
"90" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.00909199999999999
"91" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.032007
"92" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.00966100000000003
"93" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.050245
"94" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.018041
"95" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.275007
"96" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.00508600000000003
"97" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.060319
"98" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.044593
"99" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.00942399999999999
"100" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.020856
"101" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.035021
"102" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.099953
"103" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.00924800000000003
"104" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.031976
"105" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.00890000000000002
