"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"79" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.078574
"80" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.136523
"81" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00129100000000004
"82" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.058682
"83" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.02795
"84" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.189223
"85" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.015838
"86" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.0612279999999999
"87" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.164103
"88" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.0228080000000001
"89" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.010316
"90" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.00289300000000003
"91" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.072128
"92" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.072721
"93" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.140046
"94" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.00118200000000002
"95" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.058998
"96" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.02649
"97" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.205384
"98" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.017543
"99" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.05094
"100" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.150063
"101" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.024625
"102" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.00988800000000001
"103" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.003363
"104" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.079241
"105" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.07285
"106" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.144585
"107" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.00129100000000004
