"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.0640500000000001
"2" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.021663
"3" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.037205
"4" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.520713
"5" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.050251
"6" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.0983810000000001
"7" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.0835050000000001
"8" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.183145
"9" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.029794
"10" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.367056
"11" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.093714
"12" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.025735
"13" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.049391
"14" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.0640770000000001
"15" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.022635
"16" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.034344
"17" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.529119
"18" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.0427729999999999
"19" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.0933079999999999
"20" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.077593
"21" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.195335
"22" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.02862
"23" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.390238
"24" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.112129
"25" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.0282480000000001
"26" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.049175
"27" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.0594519999999999
"28" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.024984
"29" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.035729
"30" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.551304
"31" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.051919
"32" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.10389
"33" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.078264
"34" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.189407
"35" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.033826
"36" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.371856
"37" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.099994
"38" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.028506
"39" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.0510080000000001
"40" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.011248
"41" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.0511740000000001
"42" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.013624
"43" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.145029
