"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.028586
"41" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.106033
"42" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.013785
"43" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.034348
"44" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.026851
"45" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.018197
"46" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.075224
"47" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.024465
"48" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.02804
"49" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.057995
"50" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.023611
"51" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.054129
"52" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.0335
"53" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.029202
"54" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.0920879999999999
"55" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.022504
"56" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.037469
"57" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.028352
"58" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.020042
"59" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.076773
"60" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.023537
"61" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.025462
"62" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.054263
"63" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.023624
"64" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.049244
"65" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.032925
"66" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.029941
"67" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.096952
"68" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.01837
"69" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.04131
"70" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.025859
"71" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.0198120000000001
"72" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.075176
"73" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.024643
"74" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.025078
"75" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.058208
"76" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.023945
"77" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.0560890000000001
"78" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.0327
"79" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.00242100000000001
"80" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.189537
"81" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00671299999999997
"82" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.017634
"83" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.024631
"84" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.015764
"85" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.296893
"86" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.068479
"87" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.02959
"88" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.0165380000000001
"89" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.00928799999999996
"90" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.00808799999999998
"91" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.00971
"92" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.00260899999999997
"93" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.189369
"94" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.00584399999999996
"95" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.015715
"96" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.022122
"97" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.0167659999999999
"98" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.322908
"99" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.075454
"100" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.031544
"101" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.017994
"102" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.010285
"103" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.007795
"104" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.010166
"105" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.00256000000000001
"106" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.186238
"107" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.00624400000000003
"108" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.016151
"109" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.020759
"110" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.015984
"111" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.306117
"112" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.063457
"113" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.032734
"114" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.01753
"115" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.00832299999999997
"116" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.00851999999999997
"117" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.010259
"157" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 1 0.028285
"158" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 1 0.515121
"159" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 1 0.011506
"160" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 1 0.023007
"161" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 1 0.131742
