"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.043937
"2" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.041986
"3" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.050225
"4" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.206613
"5" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.013115
"6" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.047709
"7" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.082465
"8" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.230594
"9" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.039358
"10" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.078721
"11" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.078956
"12" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.441015
"13" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.132416
"14" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.043605
"15" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.041453
"16" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.048534
"17" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.195228
"18" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.01712
"19" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.041355
"20" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.075359
"21" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.227216
"22" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.034929
"23" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.088989
"24" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.081962
"25" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.464544
"26" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.130216
"27" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.045814
"28" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.044721
"29" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.053122
"30" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.206872
"31" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.014617
"32" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.050982
"33" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.074611
"34" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.216339
"35" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.0348349999999999
"36" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.078193
"37" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.083796
"38" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.468507
"39" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.128506
