"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.252353
"2" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.397722
"3" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.239395
"4" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.616457
"5" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.354387
"6" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.424837
"7" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.18069
"8" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.292478
"9" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.030929
"10" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.238168
"11" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.300867
"12" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.294918
"13" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.218612
"14" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.224498
"15" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.381375
"16" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.246861
"17" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.59171
"18" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.380555
"19" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.477247
"20" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.177734
"21" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.303516
"22" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.0177
"23" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.230148
"24" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.259106
"25" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.258276
"26" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.272718
"27" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.251383
"28" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.363303
"29" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.212179
"30" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.622375
"31" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.402948
"32" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.477765
"33" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.210825
"34" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.334406
"35" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.031768
"36" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.21096
"37" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.32375
"38" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.339075
"39" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.28878
"196" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 1 0.03185
"197" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 1 0.02479
"198" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 1 0.013428
"199" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 1 0.768402
"200" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 1 0.147991
"201" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 1 0.00958800000000004
"202" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 1 0.058324
"203" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 1 0.059083
"204" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 1 0.141155
"205" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 1 0.000488999999999962
"206" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 1 0.09545
"207" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 1 0.00121599999999999
"208" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 1 0.077372
"209" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 2 0.027399
"210" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 2 0.027815
"211" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 2 0.00849599999999995
"212" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 2 0.775285
"213" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 2 0.163849
"214" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 2 0.00981699999999996
"215" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 2 0.056747
"216" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 2 0.0638069999999999
"217" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 2 0.14836
"218" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 2 0.000495000000000023
"219" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 2 0.087056
"220" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 2 0.00128499999999998
"221" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 2 0.076777
"222" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 3 0.0304450000000001
"223" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 3 0.024824
"224" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 3 0.00912199999999996
"225" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 3 0.7069
"226" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 3 0.171785
"227" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 3 0.00957200000000002
"228" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 3 0.057515
"229" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 3 0.061356
"230" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 3 0.144423
"231" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 3 0.000508999999999982
"232" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 3 0.098568
"233" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 3 0.00118399999999996
