"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.013644
"2" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.077631
"3" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00694300000000003
"4" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.04447
"5" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.018584
"6" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.052025
"7" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.041243
"8" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.016672
"9" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.161804
"10" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.020343
"11" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.115531
"12" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.034124
"13" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.064684
"14" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.013119
"15" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.096703
"16" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.00742799999999999
"17" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.044557
"18" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.015606
"19" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.052159
"20" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.041178
"21" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.017837
"22" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.146518
"23" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.021243
"24" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.125909
"25" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.032075
"26" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.064898
"27" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.011057
"28" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.087405
"29" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.00682499999999997
"30" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.045559
"31" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.018712
"32" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.047637
"33" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.038118
"34" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.016164
"35" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.151973
"36" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.018711
"37" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.120449
"38" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.029334
"39" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.065744
"79" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "drainage_density" 1 1.99999999994649e-06
"80" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "elevation" 1 0.598528
"81" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "herbaceous_vegetation" 1 0.012445
"82" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "human_footprint" 1 0.061432
"83" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ruggedness" 1 0.09473
"84" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_nitrogen" 1 0.48174
"85" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_ph" 1 0.054505
"86" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "treecover" 1 0.091653
"87" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "water_content_33" 1 0.127786
"88" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_2" 1 0.00352699999999995
"89" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_8" 1 0.00117900000000004
"90" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_17" 1 0.16509
"91" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_18" 1 0.306617
