"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"118" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "drainage_density" 1 0
"119" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "elevation" 1 0.335754
"120" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "herbaceous_vegetation" 1 0.014591
"121" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "human_footprint" 1 0.0505409999999999
"122" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ruggedness" 1 0.05136
"123" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_nitrogen" 1 0.306449
"124" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_ph" 1 0.00555899999999998
"125" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "treecover" 1 0.057429
"126" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "water_content_33" 1 0.073087
"127" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_2" 1 0.00150399999999995
"128" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_8" 1 0.00492199999999998
"129" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_17" 1 0.349634
"130" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_18" 1 0.116899
"131" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "drainage_density" 2 0
"132" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "elevation" 2 0.317076
"133" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "herbaceous_vegetation" 2 0.015163
"134" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "human_footprint" 2 0.0412940000000001
"135" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ruggedness" 2 0.045289
"136" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_nitrogen" 2 0.298333
"137" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_ph" 2 0.00409400000000004
"138" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "treecover" 2 0.057616
"139" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "water_content_33" 2 0.080215
"140" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_2" 2 0.000546999999999964
"141" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_8" 2 0.00234500000000004
"142" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_17" 2 0.31028
"143" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_18" 2 0.124486
"144" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "drainage_density" 3 0
"145" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "elevation" 3 0.31836
"146" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "herbaceous_vegetation" 3 0.023707
"147" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "human_footprint" 3 0.042384
"148" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ruggedness" 3 0.050505
"149" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_nitrogen" 3 0.307272
"150" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "soil_ph" 3 0.005938
"151" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "treecover" 3 0.0641699999999999
"152" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "water_content_33" 3 0.07882
"153" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_2" 3 0.000265999999999988
"154" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_8" 3 0.00461
"155" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_17" 3 0.318348
"156" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "bio_18" 3 0.138
"274" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "drainage_density" 1 0.023209
"275" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "elevation" 1 0.023693
"276" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "herbaceous_vegetation" 1 0.011144
"277" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "human_footprint" 1 0.063993
"278" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ruggedness" 1 0.070168
"279" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_nitrogen" 1 0.053361
"280" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_ph" 1 0.020879
"281" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "treecover" 1 0.030357
"282" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "water_content_33" 1 0.026022
"283" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_2" 1 0.011628
"284" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_8" 1 0.044017
"285" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_17" 1 0.023237
"286" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_18" 1 0.039804
"287" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "drainage_density" 2 0.022075
"288" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "elevation" 2 0.022743
"289" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "herbaceous_vegetation" 2 0.00988800000000001
"290" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "human_footprint" 2 0.05279
"291" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ruggedness" 2 0.071187
"292" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_nitrogen" 2 0.052659
"293" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_ph" 2 0.017011
"294" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "treecover" 2 0.027026
"295" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "water_content_33" 2 0.026948
"296" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_2" 2 0.011261
"297" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_8" 2 0.04955
"298" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_17" 2 0.0261439999999999
"299" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_18" 2 0.039447
"300" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "drainage_density" 3 0.0263060000000001
"301" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "elevation" 3 0.022495
"302" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "herbaceous_vegetation" 3 0.010862
"303" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "human_footprint" 3 0.063248
"304" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ruggedness" 3 0.06851
"305" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_nitrogen" 3 0.051585
"306" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_ph" 3 0.018527
"307" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "treecover" 3 0.030427
"308" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "water_content_33" 3 0.025479
"309" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_2" 3 0.011538
"310" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_8" 3 0.045112
"311" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_17" 3 0.024847
"312" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_18" 3 0.0404099999999999
"313" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "drainage_density" 1 0.00788199999999994
"314" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "elevation" 1 0.00729500000000005
"315" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "herbaceous_vegetation" 1 0.025446
"316" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "human_footprint" 1 0.077859
"317" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ruggedness" 1 0.00224199999999997
"318" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_nitrogen" 1 0.065615
"319" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_ph" 1 0.045677
"320" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "treecover" 1 0.019632
"321" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "water_content_33" 1 0.015319
"322" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_2" 1 0.034245
"323" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_8" 1 0.052747
"324" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_17" 1 0.017711
"325" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_18" 1 0.179657
"326" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "drainage_density" 2 0.00786799999999999
"327" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "elevation" 2 0.00695800000000002
"328" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "herbaceous_vegetation" 2 0.0253640000000001
"329" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "human_footprint" 2 0.088973
"330" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ruggedness" 2 0.00175000000000003
"331" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_nitrogen" 2 0.075972
"332" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_ph" 2 0.0398579999999999
"333" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "treecover" 2 0.019997
"334" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "water_content_33" 2 0.017942
"335" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_2" 2 0.038152
"336" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_8" 2 0.048343
"337" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_17" 2 0.017804
"338" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_18" 2 0.157847
"339" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "drainage_density" 3 0.00765099999999996
"340" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "elevation" 3 0.00669200000000003
"341" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "herbaceous_vegetation" 3 0.024383
"342" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "human_footprint" 3 0.073362
"343" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ruggedness" 3 0.00222100000000003
"344" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_nitrogen" 3 0.0729070000000001
"345" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "soil_ph" 3 0.0435449999999999
"346" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "treecover" 3 0.0199009999999999
"347" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "water_content_33" 3 0.016586
"348" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_2" 3 0.034296
"349" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_8" 3 0.050046
"350" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_17" 3 0.017424
"351" "Scleria.plusiophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "bio_18" 3 0.161957
"391" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "drainage_density" 1 0.024237
"392" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "elevation" 1 0.030408
"393" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "herbaceous_vegetation" 1 0.000927000000000011
"394" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "human_footprint" 1 0.060891
"395" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ruggedness" 1 0.072478
"396" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_nitrogen" 1 0.037977
"397" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_ph" 1 0.113687
"398" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "treecover" 1 0.078642
"399" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "water_content_33" 1 0.022634
"400" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_2" 1 0.052133
"401" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_8" 1 0.126387
"402" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_17" 1 0.116356
"403" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_18" 1 0.235525
"404" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "drainage_density" 2 0.02415
"405" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "elevation" 2 0.028682
"406" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "herbaceous_vegetation" 2 0.000883999999999996
"407" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "human_footprint" 2 0.057387
"408" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ruggedness" 2 0.071933
"409" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_nitrogen" 2 0.032832
"410" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_ph" 2 0.121747
"411" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "treecover" 2 0.083856
"412" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "water_content_33" 2 0.0196539999999999
"413" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_2" 2 0.051213
"414" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_8" 2 0.136374
"415" "Scleria.plusiophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_17" 2 0.111577
