"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.300513
"2" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.38369
"3" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.13387
"4" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.276323
"5" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.350004
"6" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.624256
"7" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0
"8" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.229001
"9" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.240115
"10" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.269971
"11" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.403225
"12" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.215425
"13" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.10006
"14" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.228237
"15" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.408712
"16" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.142309
"17" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.282237
"18" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.311314
"19" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.696214
"20" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0
"21" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.222222
"22" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.222649
"23" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.317258
"24" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.547463
"25" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.264462
"26" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.053624
"27" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.292847
"28" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.367401
"29" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.173989
"30" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.361059
"31" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.340021
"32" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.639965
"33" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.01139
"34" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.203183
"35" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.216009
"36" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.322254
"37" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.439187
"38" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.229001
"39" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.108625
"40" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00583
"41" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.062724
"42" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.011126
"43" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.044162
"44" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.010049
"45" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.124641
"46" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.008911
"47" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.007637
"48" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.024156
"49" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.018862
"50" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.015796
"51" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.02916
"52" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.013406
"53" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.00544500000000003
"54" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.062848
"55" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.0119860000000001
"56" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.0425
"57" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.01025
"58" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.12119
"59" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.00801499999999999
"60" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.00868599999999997
"61" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.02598
"62" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.020021
"63" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.015953
"64" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.027029
"65" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.014908
