"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.052142
"2" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0
"3" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0
"4" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.05974
"5" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.030852
"6" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.023926
"7" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.197663
"8" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.029841
"9" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.067951
"10" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.029627
"11" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.151346
"12" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.064736
"13" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.110812
"14" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.045795
"15" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0
"16" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0
