"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"79" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.027594
"80" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.0298929999999999
"81" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.000248000000000026
"82" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.129809
"83" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.022031
"84" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.113588
"85" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.275739
"86" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.034269
"87" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.162795
"88" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.014548
"89" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.025631
"90" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.254198
"91" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.00310100000000002
"92" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.025281
"93" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.0254180000000001
"94" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.000315999999999983
"95" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.131956
"96" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.020674
"97" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.118728
"98" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.250805
"99" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.034613
"100" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.136816
"101" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.010826
"102" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.0252520000000001
"103" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.227736
"104" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.00286699999999995
"105" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.028786
"106" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.025961
"107" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.000334999999999974
"108" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.125086
"109" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.022209
"110" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.122431
"111" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.2507
"112" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.044602
"113" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.127849
"114" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.011951
"115" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.021103
"116" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.253307
"117" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.00336599999999998
"274" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "drainage_density" 1 0.021782
"275" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "elevation" 1 0.029313
"276" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "herbaceous_vegetation" 1 0.00216099999999997
"277" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "human_footprint" 1 0.09136
"278" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ruggedness" 1 0.045478
"279" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_nitrogen" 1 0.045073
"280" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "soil_ph" 1 0.071967
"281" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "treecover" 1 0.016191
"282" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "water_content_33" 1 0.045704
"283" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_2" 1 0.00697899999999996
"284" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_8" 1 0.018754
"285" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_17" 1 0.141549
"286" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "bio_18" 1 0.00783699999999998
"287" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "drainage_density" 2 0.021516
"288" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "elevation" 2 0.029467
"289" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "herbaceous_vegetation" 2 0.00232600000000005
"290" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "human_footprint" 2 0.089418
"291" "Scleria.purpurascens_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ruggedness" 2 0.0457920000000001
