"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"79" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.00819499999999995
"80" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.014728
"81" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00900199999999995
"82" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.384581
"83" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.0625520000000001
"84" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.00759799999999999
"85" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.034146
"86" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.031245
"87" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.139168
"88" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.011323
"89" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.154541
"90" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.00102599999999997
"91" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.060433
"92" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.00721499999999997
"93" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.015342
"94" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.00904300000000002
"95" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.407192
"96" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.059709
"97" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.00766100000000003
"98" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.031031
"99" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.035343
"100" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.169515
"101" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.010812
"102" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.152054
"103" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.000939000000000023
"104" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.063876
"105" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.00752900000000001
"106" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.014134
"107" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.010332
"108" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.393249
"109" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.065676
"110" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.00757600000000003
"111" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.0318349999999999
"112" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.033492
"113" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.132597
"114" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.010948
"115" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.139569
"116" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.000941999999999998
"117" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.066819
"235" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 1 0
"236" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 1 0.057082
"237" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 1 0.159576
"238" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 1 0.438974
"239" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 1 0.155464
"240" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 1 0
"241" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 1 0.078852
"242" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 1 0.10556
"243" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 1 0.016549
"244" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 1 0.043971
"245" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 1 0.42082
"246" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 1 0.00872399999999995
"247" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 1 0.245298
"248" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 2 0
"249" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 2 0.045544
"250" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 2 0.149487
"251" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 2 0.444462
"252" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 2 0.123795
"253" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 2 0
"254" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 2 0.073605
"255" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 2 0.105287
"256" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 2 0.017754
"257" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 2 0.0455100000000001
"258" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 2 0.40877
"259" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 2 0.00927199999999995
"260" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 2 0.232757
"261" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "drainage_density" 3 0
"262" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "elevation" 3 0.048609
"263" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "herbaceous_vegetation" 3 0.138702
"264" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "human_footprint" 3 0.439797
"265" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ruggedness" 3 0.130046
"266" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_nitrogen" 3 0
"267" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "soil_ph" 3 0.086778
"268" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "treecover" 3 0.088753
"269" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "water_content_33" 3 0.016547
"270" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_2" 3 0.047112
"271" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_8" 3 0.418458
"272" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_17" 3 0.00942799999999999
"273" "Scleria.racemosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "bio_18" 3 0.247733
"391" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "drainage_density" 1 0.034366
"392" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "elevation" 1 0.125804
"393" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "herbaceous_vegetation" 1 0.00989600000000002
"394" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "human_footprint" 1 0.501672
"395" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ruggedness" 1 0.181925
"396" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_nitrogen" 1 0.016362
"397" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_ph" 1 0.130364
"398" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "treecover" 1 0.093147
"399" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "water_content_33" 1 0.147702
"400" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_2" 1 0.185912
"401" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_8" 1 0.400895
"402" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_17" 1 0.017632
"403" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "bio_18" 1 0.0849760000000001
"404" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "drainage_density" 2 0.035497
"405" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "elevation" 2 0.118455
"406" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "herbaceous_vegetation" 2 0.00880700000000001
"407" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "human_footprint" 2 0.479143
"408" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ruggedness" 2 0.182394
"409" "Scleria.racemosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "soil_nitrogen" 2 0.014676
