"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00838499999999998
"2" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.037146
"3" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.02052
"4" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.06459
"5" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.015854
"6" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.039575
"7" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.026102
"8" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.030017
"9" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.01847
"10" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.020862
"11" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.132934
"12" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.095612
"13" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.021608
"14" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.00880800000000004
"15" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.032736
"16" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.023632
"17" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.060796
"18" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.01629
"19" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.041638
"20" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.024236
