"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.029096
"41" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.095414
"42" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.153895
"43" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.0351050000000001
"44" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.033219
"45" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.02823
"46" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.023784
"47" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.027243
"48" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.01211
"49" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.01342
"50" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.032294
"51" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.029253
"52" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.018012
"53" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.030546
"54" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.100813
"55" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.135647
"56" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.036339
"57" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.035848
"58" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.0283409999999999
"59" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.024764
"60" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.025925
