"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.194024
"2" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.157019
"3" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.148315
"4" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.164505
"5" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.201734
"6" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.442802
"7" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.15155
"8" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.02994
"9" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0
"10" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.246756
"11" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.039397
"12" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.880999
"13" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.521153
"14" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.182456
"15" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.161809
"16" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.166504
"17" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.122425
"18" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.19681
"19" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.46719
