"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.089561
"2" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.051894
"3" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.0310550000000001
"4" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.388957
"5" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.072689
"6" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.00236599999999998
"7" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.148393
"8" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.396287
"9" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.012767
"10" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.264053
"11" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.097585
"12" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.02205
"13" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.060261
"14" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.097762
"15" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.052016
"16" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.029123
"17" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.409885
"18" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.066197
"19" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.001946
"20" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.147054
"21" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.390196
"22" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.00913299999999995
"23" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.254678
"24" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.111052
"25" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.024925
"26" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.0622779999999999
"27" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.09038
"28" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.05799
"29" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.029493
"30" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.415802
"31" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.072022
"32" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.002359
"33" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.154901
"34" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.381945
"35" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.012029
"36" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.259207
"37" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.095393
"38" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.02701
"39" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.065065
"40" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.0234799999999999
"41" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.052686
"42" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.017848
"43" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.083562
"44" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.046032
"45" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.02718
"46" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.025689
"47" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.057541
"48" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.023542
"49" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.078944
