"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.281985
"2" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.051374
"3" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.418191
"4" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.624509
"5" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.101437
"6" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.333874
"7" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.211011
"8" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.436079
"9" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 1.00000000002876e-06
"10" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.401873
"11" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.418466
"12" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.350864
"13" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.08655
"14" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.274052
"15" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.051374
"16" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.531637
"17" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.673592
"18" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.129504
"19" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.328977
"20" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.334115
"21" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.396531
"22" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.0513749999999999
"23" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.39053
"24" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.44967
"25" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.381025
"26" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.106328
"27" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.239719
"28" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.051374
"29" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.395861
"30" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.579663
"31" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.086454
"32" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.35874
"33" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.230447
"34" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.370379
"35" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.035093
"36" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.447746
"37" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.480807
