"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.01012
"2" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.163624
"3" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.039624
"4" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.233256
"5" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.00304599999999999
"6" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.044501
"7" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.012165
"8" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.045702
"9" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.046669
"10" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.074959
"11" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.287256
"12" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.208522
"13" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.045002
"14" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.011068
"15" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.177368
"16" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.032406
"17" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.228004
"18" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.00286500000000001
"19" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.041786
"20" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.011517
"21" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.052266
"22" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.050129
"23" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.064886
"24" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.286031
"25" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.230264
"26" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.049041
"27" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.01033
"28" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.159744
"29" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.032325
"30" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.22874
"31" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.00275499999999995
"32" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.050768
"33" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.010632
"34" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.047955
"35" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 3 0.048282
"36" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 3 0.072715
"37" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 3 0.292848
"38" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 3 0.222734
"39" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 3 0.047604
"40" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00724800000000003
"41" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.05622
"42" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.0146849999999999
"43" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.04566
"44" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.013001
"45" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.02656
"46" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.027719
"47" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.012446
"48" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.039209
"49" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.029986
"50" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.038934
"51" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.125287
"52" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.029274
"53" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.00728700000000004
"54" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.049297
"55" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.014803
"56" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.047119
"57" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.014796
"58" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.026389
"59" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.027544
"60" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.011429
"61" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.040981
"62" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.031708
"63" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.039856
"64" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.112269
"65" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.028465
"66" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.00675199999999998
"67" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.057086
"68" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.015209
"69" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.045605
"70" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.014116
"71" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.026459
"72" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.0281439999999999
"73" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.012101
"74" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.038641
"75" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.03171
"76" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.0379620000000001
"77" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.126752
"78" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.0270550000000001
"79" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.000329000000000024
"80" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.119274
"81" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00341400000000003
