"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0.00690500000000005
"2" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.524283
"3" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.032042
"4" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.0164260000000001
"5" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.483904
"6" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.014904
"7" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.040561
"8" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.212403
"9" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.106736
"10" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.042193
"11" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.033263
"12" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.158377
"13" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.0729379999999999
"14" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0.00418700000000005
"15" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.531201
"16" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.033525
"17" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.016747
"18" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.444991
"19" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.017978
"20" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.036076
