"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.04289
"41" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.026345
"42" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.04921
"43" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.062252
"44" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.039872
"45" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.023775
"46" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.035816
"47" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.027398
"48" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.014597
"49" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.041021
"50" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.033268
"51" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.136185
"52" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.0279160000000001
"53" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.049802
"54" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.026292
"55" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.050883
"56" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.057087
"57" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.038697
"58" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.022914
"59" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.0355259999999999
"60" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.027277
"61" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.013592
"62" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.039844
"63" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.03112
"64" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.139045
