"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00229000000000001
"2" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.00240600000000002
"3" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00542399999999998
"4" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.105268
"5" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.01063
"6" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.00864500000000001
"7" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.022581
"8" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.00764399999999998
"9" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.114314
"10" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.027452
"11" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.00369399999999998
"12" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.00602800000000003
"13" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.011748
"14" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.00219800000000003
"15" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.00237900000000002
"16" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.00612199999999996
"17" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.10517
"18" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.011927
"19" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.00898500000000002
"20" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.022576
"21" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.00673800000000002
"22" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.107735
"23" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.029877
"24" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.00336000000000003
"25" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.00562600000000002
"26" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.011751
"27" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.00209499999999996
"28" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.002301
"29" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.00508200000000003
"30" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.09759
"31" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.0116540000000001
"32" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.00937399999999999
"33" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.024983
"34" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.00657099999999999
"35" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.115638
"36" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.02878
"37" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.00323399999999996
"38" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.00551000000000001
"39" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.011924
"40" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.000712999999999964
"41" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.000670999999999977
"42" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.00660400000000005
