"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.030899
"41" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.050987
"42" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.030218
"43" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.03239
"44" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.010833
"45" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.0195920000000001
"46" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.068881
"47" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.024329
"48" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.034926
"49" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.0506529999999999
"50" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.025419
"51" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.033357
"52" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.088923
"53" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.033824
"54" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.0473980000000001
"55" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.027241
"56" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.038454
"57" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.010418
