"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.016301
"41" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.016792
"42" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.05213
"43" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.049515
"44" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.051952
"45" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.021675
"46" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.053658
"47" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.124726
"48" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.0257500000000001
"49" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.046682
"50" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.016218
"51" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.061369
"52" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.03423
"53" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.0126309999999999
"54" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.016109
"55" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.055347
"56" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.05407
"57" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.047363
"58" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.023178
"59" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.056648
"60" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.116905
"61" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.024591
"62" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.050855
"63" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.017365
"64" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.062638
"65" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.034141
"66" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.014499
"67" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.01759
"68" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.051451
