"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"1" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 1 0
"2" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 1 0.519871
"3" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 1 0.118889
"4" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 1 0.244128
"5" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 1 0.22863
"6" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 1 0.459364
"7" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 1 0.043878
"8" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 1 0.190494
"9" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 1 0.118889
"10" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 1 0.043878
"11" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 1 0.443891
"12" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 1 0.115345
"13" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 1 0.107525
"14" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 2 0
"15" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 2 0.478295
"16" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 2 0.075233
"17" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 2 0.237777
"18" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 2 0.236666
"19" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 2 0.446525
"20" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 2 0.041943
"21" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 2 0.224182
"22" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "water_content_33" 2 0.076494
"23" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_2" 2 0.0594440000000001
"24" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_8" 2 0.469425
"25" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_17" 2 0.086404
"26" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "bio_18" 2 0.135511
"27" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "drainage_density" 3 0.014956
"28" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "elevation" 3 0.513728
"29" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "herbaceous_vegetation" 3 0.178333
"30" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "human_footprint" 3 0.249141
"31" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ruggedness" 3 0.192689
"32" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_nitrogen" 3 0.452962
"33" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "soil_ph" 3 0.043878
"34" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "treecover" 3 0.213388
