"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"79" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 1 0.055617
"80" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 1 0.028334
"81" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 1 0.016525
"82" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 1 0.035237
"83" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 1 0.0252289999999999
"84" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 1 0.023119
"85" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 1 0.014409
"86" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 1 0.088665
"87" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 1 0.064172
"88" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 1 0.095428
"89" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 1 0.00974799999999998
"90" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 1 0.0417689999999999
"91" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 1 0.218238
"92" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 2 0.051294
"93" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 2 0.027334
"94" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 2 0.014763
"95" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 2 0.0349120000000001
"96" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 2 0.027319
"97" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 2 0.022605
"98" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 2 0.015812
"99" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 2 0.082102
"100" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 2 0.066463
"101" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 2 0.098205
"102" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 2 0.010298
"103" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 2 0.042884
"104" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 2 0.219739
"105" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "drainage_density" 3 0.055407
"106" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "elevation" 3 0.025838
"107" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "herbaceous_vegetation" 3 0.016367
"108" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "human_footprint" 3 0.033785
"109" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ruggedness" 3 0.024767
"110" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_nitrogen" 3 0.023729
"111" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "soil_ph" 3 0.014699
"112" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "treecover" 3 0.094006
"113" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "water_content_33" 3 0.064943
"114" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_2" 3 0.105296
"115" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_8" 3 0.010354
"116" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_17" 3 0.043921
"117" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "bio_18" 3 0.217057
"196" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 1 0.086323
"197" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 1 0.043893
"198" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 1 0.0129280000000001
"199" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 1 0.128321
"200" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 1 0.135211
"201" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 1 6.99999999997925e-06
"202" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 1 0.100293
"203" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 1 0.314889
"204" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 1 0.048526
"205" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 1 0.02822
"206" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 1 0.014617
"207" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 1 0.062669
"208" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 1 0.268516
"209" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 2 0.091087
"210" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 2 0.043202
"211" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 2 0.01261
"212" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 2 0.122782
"213" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 2 0.132893
"214" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 2 8.000000000008e-06
"215" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 2 0.09258
"216" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 2 0.320357
"217" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 2 0.0507339999999999
"218" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 2 0.029528
"219" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 2 0.0155419999999999
"220" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 2 0.056626
"221" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 2 0.282078
"222" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 3 0.088209
"223" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 3 0.043751
"224" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 3 0.01103
"225" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 3 0.13482
"226" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 3 0.13661
"227" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 3 8.000000000008e-06
"228" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 3 0.100289
"229" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 3 0.313293
"230" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 3 0.050615
"231" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 3 0.02942
"232" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 3 0.014267
"233" "Scleria.verrucosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 3 0.06295
