"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.042135
"41" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.022326
"42" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.00702000000000003
"43" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.015049
"44" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.0112409999999999
"45" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.123974
"46" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.02511
"47" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.010307
"48" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.019498
"49" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.042079
"50" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.020184
"51" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.021902
"52" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.045069
"53" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.044779
"54" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.023203
"55" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.00664399999999998
"56" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.015855
"57" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.011853
"58" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.126774
"59" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.024529
"60" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.011644
"61" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.017478
"62" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.040465
"63" "Scleria.verticillata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.020022
