"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"157" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 1 0.151675
"158" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 1 0.426032
"159" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 1 0.124456
"160" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 1 0.151248
"161" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 1 0.016947
"162" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 1 0.11791
"163" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_ph" 1 0.204465
"164" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "treecover" 1 0.310707
"165" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "water_content_33" 1 0.310317
"166" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_2" 1 0.228927
"167" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_8" 1 0.281812
"168" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_17" 1 0.165526
"169" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "bio_18" 1 0.142038
"170" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "drainage_density" 2 0.140014
"171" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "elevation" 2 0.419394
"172" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "herbaceous_vegetation" 2 0.134337
"173" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "human_footprint" 2 0.146883
"174" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ruggedness" 2 0.012943
"175" "Scleria.vogelii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "soil_nitrogen" 2 0.11399
