"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"40" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 1 0.00770499999999996
"41" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 1 0.057137
"42" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 1 0.033034
"43" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 1 0.04057
"44" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 1 0.024149
"45" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 1 0.02066
"46" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 1 0.0204569999999999
"47" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 1 0.018794
"48" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 1 0.0702739999999999
"49" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 1 0.029438
"50" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 1 0.087689
"51" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 1 0.037027
"52" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 1 0.013341
"53" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 2 0.007822
"54" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 2 0.059261
"55" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 2 0.029502
"56" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 2 0.040251
"57" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 2 0.024749
"58" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 2 0.01864
"59" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 2 0.017835
"60" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 2 0.02135
"61" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 2 0.0704900000000001
"62" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 2 0.028107
"63" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 2 0.086443
"64" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 2 0.036447
"65" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 2 0.0149589999999999
"66" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "drainage_density" 3 0.00835399999999997
"67" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "elevation" 3 0.057598
"68" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "herbaceous_vegetation" 3 0.03266
"69" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "human_footprint" 3 0.040786
"70" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ruggedness" 3 0.022297
"71" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_nitrogen" 3 0.022959
"72" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "soil_ph" 3 0.018925
"73" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "treecover" 3 0.02262
"74" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "water_content_33" 3 0.0673550000000001
"75" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_2" 3 0.028766
"76" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_8" 3 0.088545
"77" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_17" 3 0.035901
"78" "Scleria.woodii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "bio_18" 3 0.013927
"196" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "drainage_density" 1 0.048355
"197" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "elevation" 1 0.00307900000000005
"198" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "herbaceous_vegetation" 1 0.014218
"199" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "human_footprint" 1 0.140431
"200" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ruggedness" 1 0.06153
"201" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_nitrogen" 1 0.00475400000000004
"202" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "soil_ph" 1 0.015151
"203" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "treecover" 1 0.000155000000000016
"204" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "water_content_33" 1 0.02658
"205" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_2" 1 0.234607
"206" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_8" 1 0.357444
"207" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_17" 1 0.129024
"208" "Scleria.woodii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "bio_18" 1 0.007988
